x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,PT
100.3272832,7.872231796,2.93526986,39.19426765,2.069628225,1.362807089,1.583576706,7.141144589,1.052814287,1.857916744,26.20191826,487.2751422,0.550993742,2.271330761,5.851244634,44.07312397,5.768183015,0.973609337,80.30726593,4.04252977,19.26364195,297.7629494,0.88462786,332.9617984,2.898145675,14.23808308,41.68418068,2.513633863,0
2732.699782,32.4069454,7.304266068,196.2119255,5.327878226,0.508703354,2.741503045,3.534832169,1.915488721,11.1955861,29.57960698,788.0210307,2.056730781,1.295294812,11.37502584,102.1830746,1.196177878,0.302844879,7.365897067,0,27.92760466,15.15628852,3.577251486,240.0519936,3.036651074,12.51597841,34.33621927,5.638661396,1
1264.983883,25.95121254,11.69926694,201.3706236,6.209018598,3.234094199,0.177285018,3.930463247,0,9.251180894,9.316221638,1205.293476,0.581317607,0.598211311,2.284678051,87.2279098,3.166991344,8.407542626,1.615557644,2.077739735,17.62925725,22.33071045,0.349240578,241.8179693,0.964938757,4.693654106,29.5855977,8.357203516,0
0.539398005,4.902202557,44.34543936,7.242932527,0.978331021,15.20295521,1.395334129,1.937246263,0.765985125,53.21786074,15.77441881,384.946431,0.07633589,1.178013754,0,45.83699965,0.899203755,1.804116216,0,0,11.1092114,2.472482177,0,190.856791,0.095022483,21.64501917,27.135252,5.713952034,1
72.66169454,0.240273834,0.185961399,23.47909296,8.525500008,0.326117636,0,41.79905285,0,1.082355354,3.286042895,513.4606307,0.117247798,0.180903128,1.376942154,77.70758093,3.452438645,4.613758689,3.412636837,0.623550767,58.92078186,22.64317121,0.211181204,106.6980914,1.240466599,5.541317421,39.93736436,11.10733018,0
1815.318596,10.97928005,5.479489301,153.0933934,2.182067556,2.200723116,1.26187708,1.485759575,0.857905789,16.53994405,14.23808895,269.4950261,0.741017566,0.43768315,5.416443506,38.09208156,1.711375529,0.998247001,1.207978,0.8206801,27.1941522,19.20917145,0.320081597,217.5666949,2.730848198,5.98706737,46.69728891,6.895832283,0
1053.185905,29.90346791,23.61260199,13.73330336,4.114541835,2.446928714,1.416350897,5.783210284,0.864247239,13.99364727,29.74745468,704.4525194,0.199287133,0.416533288,6.357321557,54.88042558,2.102766147,4.285652083,1.824273777,0,24.84558113,49.63235672,0.367482245,125.9070649,7.744517342,11.11995571,31.02597514,9.461452703,1
112.5429377,5.477209299,1.088510987,141.6165201,3.937418528,1.465868287,0.586457989,13.25295637,0.318512575,5.566576075,7.672860176,739.3381375,0.401027439,1.236971643,4.691548583,55.38286785,4.866546564,0.67475253,10.21769464,0.604452703,15.50405678,249.891728,1.031222974,329.702893,14.11623819,8.010331096,45.55070675,3.665523572,0
2586.877597,20.49531355,2.863056172,185.7701213,1.563826794,0.912434089,3.332322688,7.271731688,2.750691613,4.122978277,22.54072862,739.7753786,0.74519739,1.267678105,8.936365695,72.88075008,3.226040765,1.187775351,70.03515731,0,12.74247599,392.2332536,1.616162096,273.4868933,50.41788726,10.76352351,43.2836311,3.068809389,1
2483.279688,15.47011514,15.62173827,100.3451425,1.900398377,0.680446096,3.016413162,8.221573714,1.679290698,6.762440197,5.948448866,648.8706971,3.668270801,0,7.291705059,56.32991112,2.266547075,2.428248681,2.567663933,2.234169811,29.41756949,129.863425,2.759928935,278.9243954,32.70550325,4.691341035,30.8995698,4.947939183,0
4388.69212,7.523946093,25.95814882,279.3797002,4.590416999,3.895973441,0.157255916,1.022349435,0.300076374,48.58031409,36.84359766,708.6093073,2.279677152,0,0,68.39054431,3.028290818,3.228113707,1.31288539,2.743474575,24.52236969,71.40048765,0.451513788,104.0406754,1.090114947,21.73301093,35.58520976,7.890571625,1
